#Experiment_s	Run_s
SRX2272245	SRR4456084
SRX2272246	SRR4456085
SRX2272246	SRR4456086
SRX2272247	SRR4456087
SRX2272247	SRR4456088
SRX2272248	SRR4456089
SRX2272248	SRR4456090
SRX2272249	SRR4456091
SRX2272249	SRR4456092
SRX2272250	SRR4456093
SRX2272250	SRR4456094
SRX2272251	SRR4456095
SRX2272251	SRR4456096
SRX2272252	SRR4456097
SRX2272252	SRR4456098
SRX2272253	SRR4456099
SRX2272253	SRR4456100
SRX2272254	SRR4456101
SRX2272254	SRR4456102
SRX2272255	SRR4456103
SRX2272255	SRR4456104
SRX2272256	SRR4456105
SRX2272256	SRR4456106
SRX2272257	SRR4456107
SRX2272258	SRR4456108
SRX2272259	SRR4456109
SRX2272260	SRR4456110
SRX2272261	SRR4456111
SRX2272262	SRR4456112
SRX2272263	SRR4456113
SRX2272264	SRR4456114
SRX2272265	SRR4456115
SRX2272266	SRR4456116
SRX2272267	SRR4456117
SRX2272268	SRR4456118
SRX2272269	SRR4456119
SRX2272270	SRR4456120
SRX2272271	SRR4456121
SRX2272272	SRR4456122
SRX2272273	SRR4456123
SRX2272274	SRR4456124
SRX2272275	SRR4456125
SRX2272276	SRR4456126
SRX2272277	SRR4456127
SRX2272278	SRR4456128
SRX2272279	SRR4456129
SRX2272280	SRR4456130
SRX2272281	SRR4456131
SRX2272282	SRR4456132
SRX2272283	SRR4456133
SRX2272284	SRR4456134
SRX2272285	SRR4456135
SRX2272286	SRR4456136
SRX2272287	SRR4456137
SRX2272288	SRR4456138
SRX2272289	SRR4456139
SRX2272290	SRR4456140
SRX2272291	SRR4456141
SRX2272292	SRR4456142
SRX2272293	SRR4456143
SRX2272294	SRR4456144
SRX2272295	SRR4456145
SRX2272296	SRR4456146
SRX2272297	SRR4456147
SRX2272298	SRR4456148
SRX2272299	SRR4456149
SRX2272300	SRR4456150
SRX2272301	SRR4456151
SRX2272302	SRR4456152
SRX2272303	SRR4456153
SRX2272304	SRR4456154
SRX2272305	SRR4456155
SRX2272306	SRR4456156
SRX2272307	SRR4456157
SRX2272308	SRR4456158
SRX2272309	SRR4456159
SRX2272310	SRR4456160
SRX2272311	SRR4456161
SRX2272312	SRR4456162
SRX2272313	SRR4456163
SRX2272314	SRR4456164
SRX2272315	SRR4456165
SRX2272316	SRR4456166
SRX2272317	SRR4456167
SRX2272318	SRR4456168
SRX2272319	SRR4456169
SRX2272320	SRR4456170
SRX2272321	SRR4456171
SRX2272322	SRR4456172
SRX2272323	SRR4456173
SRX2272324	SRR4456174
SRX2272325	SRR4456175
SRX2272326	SRR4456176
SRX2272327	SRR4456177
SRX2272328	SRR4456178
SRX2272329	SRR4456179
SRX2272330	SRR4456180
SRX2272331	SRR4456181
SRX2272332	SRR4456182
SRX2272333	SRR4456183
SRX2272334	SRR4456184
SRX2272335	SRR4456185
SRX2272336	SRR4456186
SRX2272337	SRR4456187
SRX2272338	SRR4456188
SRX2272339	SRR4456189
SRX2272340	SRR4456190
SRX2272341	SRR4456191
SRX2272342	SRR4456192
SRX2272343	SRR4456193
SRX2272344	SRR4456194
SRX2272345	SRR4456195
SRX2272346	SRR4456196
SRX2272347	SRR4456197
SRX2272348	SRR4456198
SRX2272349	SRR4456199
SRX2272350	SRR4456200
SRX2272351	SRR4456201
SRX2272352	SRR4456202
SRX2272353	SRR4456203
SRX2272354	SRR4456204
SRX2272355	SRR4456205
SRX2272356	SRR4456206
SRX2272357	SRR4456207
SRX2272358	SRR4456208
SRX2272359	SRR4456209
SRX2272360	SRR4456210
SRX2272361	SRR4456211
SRX2272362	SRR4456212
SRX2272363	SRR4456213
SRX2272364	SRR4456214
SRX2272365	SRR4456215
SRX2272366	SRR4456216
SRX2272367	SRR4456217
SRX2272368	SRR4456218
SRX2272369	SRR4456219
SRX2272370	SRR4456220
SRX2272371	SRR4456221
SRX2272372	SRR4456222
SRX2272373	SRR4456223
SRX2272374	SRR4456224
SRX2272375	SRR4456225
SRX2272376	SRR4456226
SRX2272377	SRR4456227
SRX2272378	SRR4456228
SRX2272379	SRR4456229
SRX2272380	SRR4456230
SRX2272381	SRR4456231
SRX2272382	SRR4456232
SRX2272383	SRR4456233
SRX2272384	SRR4456234
SRX2272385	SRR4456235
SRX2272386	SRR4456236
SRX2272387	SRR4456237
SRX2272388	SRR4456238
SRX2272389	SRR4456239
SRX2272390	SRR4456240
SRX2272391	SRR4456241
SRX2272392	SRR4456242
SRX2272393	SRR4456243
SRX2272394	SRR4456244
SRX2272395	SRR4456245
SRX2272396	SRR4456246
SRX2272397	SRR4456247
SRX2272398	SRR4456248
SRX2272399	SRR4456249
SRX2272400	SRR4456250
SRX2272401	SRR4456251
SRX2272402	SRR4456252
SRX2272403	SRR4456253
SRX2272404	SRR4456254
SRX2272405	SRR4456255
SRX2272406	SRR4456256
SRX2272407	SRR4456257
SRX2272408	SRR4456258
SRX2272409	SRR4456259
SRX2272410	SRR4456260
SRX2272411	SRR4456261
SRX2272412	SRR4456262
SRX2272413	SRR4456263
SRX2272413	SRR4456264
SRX2272414	SRR4456265
SRX2272414	SRR4456266
SRX2272415	SRR4456267
SRX2272415	SRR4456268
SRX2272416	SRR4456269
SRX2272416	SRR4456270
SRX2272417	SRR4456271
SRX2272417	SRR4456272
SRX2272418	SRR4456273
SRX2272418	SRR4456274
SRX2272419	SRR4456275
SRX2272419	SRR4456276
SRX2272420	SRR4456277
SRX2272420	SRR4456278
SRX2272421	SRR4456279
SRX2272421	SRR4456280
SRX2272422	SRR4456281
SRX2272422	SRR4456282
SRX2272423	SRR4456283
SRX2272423	SRR4456284
SRX2272424	SRR4456285
SRX2272424	SRR4456286
SRX2272425	SRR4456287
SRX2272425	SRR4456288
SRX2272426	SRR4456289
SRX2272426	SRR4456290
SRX2272427	SRR4456291
SRX2272427	SRR4456292
SRX2272428	SRR4456293
SRX2272428	SRR4456294
SRX2272429	SRR4456295
SRX2272429	SRR4456296
SRX2272430	SRR4456297
SRX2272430	SRR4456298
SRX2272431	SRR4456299
SRX2272431	SRR4456300
SRX2272432	SRR4456301
SRX2272432	SRR4456302
SRX2272433	SRR4456303
SRX2272433	SRR4456304
SRX2272434	SRR4456305
SRX2272434	SRR4456306
SRX2272435	SRR4456307
SRX2272435	SRR4456308
SRX2272436	SRR4456309
SRX2272436	SRR4456310
SRX2272437	SRR4456311
SRX2272437	SRR4456312
SRX2272438	SRR4456313
SRX2272438	SRR4456314
SRX2272439	SRR4456315
SRX2272439	SRR4456316
SRX2272440	SRR4456317
SRX2272440	SRR4456318
SRX2272441	SRR4456319
SRX2272441	SRR4456320
SRX2272442	SRR4456321
SRX2272442	SRR4456322
SRX2272443	SRR4456323
SRX2272443	SRR4456324
SRX2272444	SRR4456325
SRX2272444	SRR4456326
SRX2272445	SRR4456327
SRX2272445	SRR4456328
SRX2272446	SRR4456329
SRX2272446	SRR4456330
SRX2272447	SRR4456331
SRX2272447	SRR4456332
SRX2272448	SRR4456333
SRX2272448	SRR4456334
SRX2272449	SRR4456335
SRX2272449	SRR4456336
SRX2272450	SRR4456337
SRX2272450	SRR4456338
SRX2272451	SRR4456339
SRX2272451	SRR4456340
SRX2272452	SRR4456341
SRX2272452	SRR4456342
SRX2272453	SRR4456343
SRX2272453	SRR4456344
SRX2272454	SRR4456345
SRX2272454	SRR4456346
SRX2272455	SRR4456347
SRX2272455	SRR4456348
SRX2272456	SRR4456349
SRX2272456	SRR4456350
SRX2272457	SRR4456351
SRX2272457	SRR4456352
SRX2272458	SRR4456353
SRX2272458	SRR4456354
SRX2272459	SRR4456355
SRX2272459	SRR4456356
SRX2272460	SRR4456357
SRX2272460	SRR4456358
SRX2272461	SRR4456359
SRX2272461	SRR4456360
SRX2272462	SRR4456361
SRX2272462	SRR4456362
SRX2272463	SRR4456363
SRX2272463	SRR4456364
SRX2272464	SRR4456365
SRX2272464	SRR4456366
SRX2272465	SRR4456367
SRX2272465	SRR4456368
SRX2272466	SRR4456369
SRX2272466	SRR4456370
SRX2272467	SRR4456371
SRX2272467	SRR4456372
SRX2272468	SRR4456373
SRX2272468	SRR4456374
SRX2272469	SRR4456375
SRX2272469	SRR4456376
SRX2272470	SRR4456377
SRX2272470	SRR4456378
SRX2272471	SRR4456379
SRX2272471	SRR4456380
SRX2272472	SRR4456381
SRX2272472	SRR4456382
SRX2272473	SRR4456383
SRX2272473	SRR4456384
SRX2272474	SRR4456385
SRX2272474	SRR4456386
SRX2272475	SRR4456387
SRX2272475	SRR4456388
SRX2272476	SRR4456389
SRX2272476	SRR4456390
SRX2272477	SRR4456391
SRX2272477	SRR4456392
SRX2272478	SRR4456393
SRX2272478	SRR4456394
SRX2272479	SRR4456395
SRX2272479	SRR4456396
SRX2272480	SRR4456397
SRX2272480	SRR4456398
SRX2272481	SRR4456399
SRX2272481	SRR4456400
SRX2272482	SRR4456401
SRX2272482	SRR4456402
SRX2272483	SRR4456403
SRX2272483	SRR4456404
SRX2272484	SRR4456405
SRX2272484	SRR4456406
SRX2272485	SRR4456407
SRX2272485	SRR4456408
SRX2272486	SRR4456409
SRX2272486	SRR4456410
SRX2272487	SRR4456411
SRX2272487	SRR4456412
SRX2272488	SRR4456413
SRX2272488	SRR4456414
SRX2272489	SRR4456415
SRX2272489	SRR4456416
SRX2272490	SRR4456417
SRX2272490	SRR4456418
SRX2272491	SRR4456419
SRX2272491	SRR4456420
SRX2272492	SRR4456421
SRX2272492	SRR4456422
SRX2272493	SRR4456423
SRX2272493	SRR4456424
SRX2272494	SRR4456425
SRX2272494	SRR4456426
SRX2272495	SRR4456427
SRX2272495	SRR4456428
SRX2272496	SRR4456429
SRX2272496	SRR4456430
SRX2272497	SRR4456431
SRX2272497	SRR4456432
SRX2272498	SRR4456433
SRX2272498	SRR4456434
SRX2272499	SRR4456435
SRX2272499	SRR4456436
SRX2272500	SRR4456437
SRX2272500	SRR4456438
SRX2272501	SRR4456439
SRX2272501	SRR4456440
SRX2272502	SRR4456441
SRX2272502	SRR4456442
SRX2272503	SRR4456443
SRX2272503	SRR4456444
SRX2272504	SRR4456445
SRX2272504	SRR4456446
SRX2272505	SRR4456447
SRX2272505	SRR4456448
SRX2272506	SRR4456449
SRX2272506	SRR4456450
SRX2272507	SRR4456451
SRX2272507	SRR4456452
SRX2272508	SRR4456453
SRX2272508	SRR4456454
SRX2272509	SRR4456455
SRX2272509	SRR4456456
SRX2272510	SRR4456457
SRX2272510	SRR4456458
SRX2272511	SRR4456459
SRX2272511	SRR4456460
SRX2272512	SRR4456461
SRX2272512	SRR4456462
SRX2272513	SRR4456463
SRX2272513	SRR4456464
SRX2272514	SRR4456465
SRX2272514	SRR4456466
SRX2272515	SRR4456467
SRX2272515	SRR4456468
SRX2272516	SRR4456469
SRX2272516	SRR4456470
SRX2272517	SRR4456471
SRX2272517	SRR4456472
SRX2272518	SRR4456473
SRX2272518	SRR4456474
SRX2272519	SRR4456475
SRX2272519	SRR4456476
SRX2272520	SRR4456477
SRX2272520	SRR4456478
SRX2272521	SRR4456479
SRX2272521	SRR4456480
SRX2272522	SRR4456481
SRX2272522	SRR4456482
SRX2272523	SRR4456483
SRX2272523	SRR4456484
SRX2272524	SRR4456485
SRX2272524	SRR4456486
SRX2272525	SRR4456487
SRX2272525	SRR4456488
SRX2272526	SRR4456489
SRX2272526	SRR4456490
SRX2272527	SRR4456491
SRX2272527	SRR4456492
SRX2272528	SRR4456493
SRX2272528	SRR4456494
SRX2272529	SRR4456495
SRX2272529	SRR4456496
SRX2272530	SRR4456497
SRX2272530	SRR4456498
SRX2272531	SRR4456499
SRX2272531	SRR4456500
SRX2272532	SRR4456501
SRX2272532	SRR4456502
SRX2272533	SRR4456503
SRX2272533	SRR4456504
SRX2272534	SRR4456505
SRX2272534	SRR4456506
SRX2272535	SRR4456507
SRX2272535	SRR4456508
SRX2272536	SRR4456509
SRX2272536	SRR4456510
SRX2272537	SRR4456511
SRX2272537	SRR4456512
SRX2272538	SRR4456513
SRX2272538	SRR4456514
SRX2272539	SRR4456515
SRX2272539	SRR4456516
SRX2272540	SRR4456517
SRX2272540	SRR4456518
SRX2272541	SRR4456519
SRX2272541	SRR4456520
SRX2272542	SRR4456521
SRX2272542	SRR4456522
SRX2272543	SRR4456523
SRX2272543	SRR4456524
SRX2272544	SRR4456525
SRX2272544	SRR4456526
SRX2272545	SRR4456527
SRX2272545	SRR4456528
SRX2272546	SRR4456529
SRX2272546	SRR4456530
SRX2272547	SRR4456531
SRX2272547	SRR4456532
SRX2272548	SRR4456533
SRX2272548	SRR4456534
SRX2272549	SRR4456535
SRX2272549	SRR4456536
SRX2272550	SRR4456537
SRX2272550	SRR4456538
SRX2272551	SRR4456539
SRX2272551	SRR4456540
SRX2272552	SRR4456541
SRX2272552	SRR4456542
SRX2272553	SRR4456543
SRX2272553	SRR4456544
SRX2272554	SRR4456545
SRX2272554	SRR4456546
SRX2272555	SRR4456547
SRX2272555	SRR4456548
SRX2272556	SRR4456549
SRX2272556	SRR4456550
SRX2272557	SRR4456551
SRX2272557	SRR4456552
SRX2272558	SRR4456553
SRX2272558	SRR4456554
SRX2272559	SRR4456555
SRX2272559	SRR4456556
SRX2272560	SRR4456557
SRX2272560	SRR4456558
SRX2272561	SRR4456559
SRX2272561	SRR4456560
SRX2272562	SRR4456561
SRX2272562	SRR4456562
SRX2272563	SRR4456563
SRX2272563	SRR4456564
SRX2272564	SRR4456565
SRX2272564	SRR4456566
SRX2272565	SRR4456567
SRX2272565	SRR4456568
SRX2272566	SRR4456569
SRX2272566	SRR4456570
SRX2272567	SRR4456571
SRX2272567	SRR4456572
SRX2272568	SRR4456573
SRX2272568	SRR4456574
SRX2272569	SRR4456575
SRX2272569	SRR4456576
SRX2272570	SRR4456577
SRX2272570	SRR4456578
SRX2272571	SRR4456579
SRX2272571	SRR4456580
SRX2272572	SRR4456581
SRX2272572	SRR4456582
SRX2272573	SRR4456583
SRX2272573	SRR4456584
SRX2272574	SRR4456585
SRX2272574	SRR4456586
SRX2272575	SRR4456587
SRX2272575	SRR4456588
SRX2272576	SRR4456589
SRX2272576	SRR4456590
SRX2272577	SRR4456591
SRX2272577	SRR4456592
SRX2272578	SRR4456593
SRX2272578	SRR4456594
SRX2272579	SRR4456595
SRX2272579	SRR4456596
SRX2272580	SRR4456597
SRX2272580	SRR4456598
SRX2272581	SRR4456599
SRX2272581	SRR4456600
SRX2272582	SRR4456601
SRX2272582	SRR4456602
SRX2272583	SRR4456603
SRX2272583	SRR4456604
SRX2272584	SRR4456605
SRX2272584	SRR4456606
SRX2272585	SRR4456607
SRX2272585	SRR4456608
SRX2272586	SRR4456609
SRX2272586	SRR4456610
SRX2272587	SRR4456611
SRX2272587	SRR4456612
SRX2272588	SRR4456613
SRX2272588	SRR4456614
SRX2272589	SRR4456615
SRX2272589	SRR4456616
SRX2272590	SRR4456617
SRX2272590	SRR4456618
SRX2272591	SRR4456619
SRX2272591	SRR4456620
SRX2272592	SRR4456621
SRX2272592	SRR4456622
SRX2272593	SRR4456623
SRX2272593	SRR4456624
SRX2272594	SRR4456625
SRX2272594	SRR4456626
SRX2272595	SRR4456627
SRX2272595	SRR4456628
SRX2272596	SRR4456629
SRX2272596	SRR4456630
SRX2272597	SRR4456631
SRX2272597	SRR4456632
