#Experiment_s	Run_s
SRX2271791	SRR4455317
SRX2271792	SRR4455318
SRX2271793	SRR4455319
SRX2271794	SRR4455320
SRX2271795	SRR4455321
SRX2271796	SRR4455322
SRX2271797	SRR4455323
SRX2271798	SRR4455324
SRX2271799	SRR4455325
SRX2271800	SRR4455326
SRX2271801	SRR4455327
SRX2271802	SRR4455328
SRX2271803	SRR4455329
SRX2271804	SRR4455330
SRX2271805	SRR4455331
SRX2271806	SRR4455332
SRX2271807	SRR4455333
SRX2271808	SRR4455334
SRX2271809	SRR4455335
SRX2271810	SRR4455336
SRX2271811	SRR4455337
SRX2271812	SRR4455338
SRX2271813	SRR4455339
SRX2271814	SRR4455340
SRX2271815	SRR4455341
SRX2271816	SRR4455342
SRX2271817	SRR4455343
SRX2271818	SRR4455344
SRX2271819	SRR4455345
SRX2271820	SRR4455346
SRX2271821	SRR4455347
SRX2271822	SRR4455348
SRX2271823	SRR4455349
SRX2271824	SRR4455350
SRX2271825	SRR4455351
SRX2271826	SRR4455352
SRX2271827	SRR4455353
SRX2271828	SRR4455354
SRX2271829	SRR4455355
SRX2271830	SRR4455356
SRX2271831	SRR4455357
SRX2271832	SRR4455358
SRX2271833	SRR4455359
SRX2271834	SRR4455360
SRX2271835	SRR4455361
SRX2271836	SRR4455362
SRX2271837	SRR4455363
SRX2271838	SRR4455364
SRX2271839	SRR4455365
SRX2271840	SRR4455366
SRX2271841	SRR4455367
SRX2271842	SRR4455368
SRX2271843	SRR4455369
SRX2271844	SRR4455370
SRX2271845	SRR4455371
SRX2271846	SRR4455372
SRX2271847	SRR4455373
SRX2271848	SRR4455374
SRX2271849	SRR4455375
SRX2271850	SRR4455376
SRX2271851	SRR4455377
SRX2271852	SRR4455378
SRX2271853	SRR4455379
SRX2271854	SRR4455380
SRX2271855	SRR4455381
SRX2271856	SRR4455382
SRX2271857	SRR4455383
SRX2271858	SRR4455384
SRX2271859	SRR4455385
SRX2271860	SRR4455386
SRX2271861	SRR4455387
SRX2271862	SRR4455388
SRX2271863	SRR4455389
SRX2271864	SRR4455390
SRX2271865	SRR4455391
SRX2271866	SRR4455392
SRX2271867	SRR4455393
SRX2271868	SRR4455394
SRX2271869	SRR4455395
SRX2271870	SRR4455396
SRX2271871	SRR4455397
SRX2271872	SRR4455398
SRX2271873	SRR4455399
SRX2271874	SRR4455400
SRX2271875	SRR4455401
SRX2271876	SRR4455402
SRX2271877	SRR4455403
SRX2271878	SRR4455404
SRX2271879	SRR4455405
SRX2271880	SRR4455406
SRX2271881	SRR4455407
SRX2271882	SRR4455408
SRX2271883	SRR4455409
SRX2271884	SRR4455410
SRX2271885	SRR4455411
SRX2271886	SRR4455412
SRX2271887	SRR4455413
SRX2271888	SRR4455414
SRX2271889	SRR4455415
SRX2271890	SRR4455416
SRX2271891	SRR4455417
SRX2271892	SRR4455418
SRX2271893	SRR4455419
SRX2271894	SRR4455420
SRX2271895	SRR4455421
SRX2271896	SRR4455422
SRX2271897	SRR4455423
SRX2271898	SRR4455424
SRX2271899	SRR4455425
SRX2271900	SRR4455426
SRX2271901	SRR4455427
SRX2271902	SRR4455428
SRX2271903	SRR4455429
SRX2271904	SRR4455430
SRX2271905	SRR4455431
SRX2271906	SRR4455432
SRX2271907	SRR4455433
SRX2271908	SRR4455434
SRX2271909	SRR4455435
SRX2271910	SRR4455436
SRX2271911	SRR4455437
SRX2271912	SRR4455438
SRX2271913	SRR4455439
SRX2271914	SRR4455440
SRX2271915	SRR4455441
SRX2271916	SRR4455442
SRX2271917	SRR4455443
SRX2271918	SRR4455444
SRX2271919	SRR4455445
SRX2271920	SRR4455446
SRX2271921	SRR4455447
SRX2271922	SRR4455448
SRX2271923	SRR4455449
SRX2271924	SRR4455450
SRX2271925	SRR4455451
SRX2271926	SRR4455452
SRX2271927	SRR4455453
SRX2271928	SRR4455454
SRX2271929	SRR4455455
SRX2271930	SRR4455456
SRX2271931	SRR4455457
SRX2271932	SRR4455458
SRX2271933	SRR4455459
SRX2271933	SRR4455460
SRX2271934	SRR4455461
SRX2271934	SRR4455462
SRX2271935	SRR4455463
SRX2271935	SRR4455464
SRX2271936	SRR4455465
SRX2271936	SRR4455466
SRX2271937	SRR4455467
SRX2271937	SRR4455468
SRX2271938	SRR4455469
SRX2271938	SRR4455470
SRX2271939	SRR4455471
SRX2271939	SRR4455472
SRX2271940	SRR4455473
SRX2271940	SRR4455474
SRX2271941	SRR4455475
SRX2271941	SRR4455476
SRX2271942	SRR4455477
SRX2271942	SRR4455478
SRX2271943	SRR4455479
SRX2271943	SRR4455480
SRX2271944	SRR4455481
SRX2271944	SRR4455482
SRX2271945	SRR4455483
SRX2271945	SRR4455484
SRX2271946	SRR4455485
SRX2271946	SRR4455486
SRX2271947	SRR4455487
SRX2271947	SRR4455488
SRX2271948	SRR4455489
SRX2271948	SRR4455490
SRX2271949	SRR4455491
